Date,Weight
2022-08-13,108
2022-08-14,107.5
2022-08-21,106.5
2022-08-28,107.0
2022-09-04,107.0
2022-09-11,107.0
2022-09-18,106.0
2022-09-25,105.5
2022-10-02,105.0
2022-10-09,104.0
2022-10-16,102.5
2022-10-23,103.0
2022-10-30,101.3
2022-11-06,101.0
2022-12-16,99.5
2022-12-17,99.0
2022-12-19,99.5
2022-12-22,99.0
2022-12-25,99.0
2022-12-26,99.0
2023-05-22,104.0
2023-06-07,103.0
2023-06-15,102.5
2023-06-17,103.0
2023-06-20,102.5
2023-06-21,103.0
2023-06-22,102.5
2023-06-23,102.5
2023-06-24,102.5
2023-06-25,102.0
2023-06-29,102.0
2023-06-30,102.0
2023-07-01,102.5
2023-07-02,102.5
2023-07-03,102.2
2023-07-05,102.5
2023-07-06,102.5
2023-07-07,102.0
2023-07-08,101.5
2023-07-09,102.5
2023-07-10,102.1
2023-07-11,101.5
2023-07-12,101.5
2023-07-13,101.5
2023-07-14,101.0
2023-07-15,100.5
2023-07-16,101.2
2023-07-17,100.5
2023-07-18,100.5
2023-07-19,100.5
2023-07-20,100.5
2023-07-21,99.5
2023-07-23,100.0
2023-07-24,100.0
2023-07-25,99.5
2023-07-26,99.0
2023-07-28,98.5
2023-07-29,99.0
2023-07-31,98.5
2023-08-02,98.0
2023-08-03,98.5
2023-08-04,98.5
2023-08-05,98.0
2023-08-06,98.0
2023-08-07,98.0
2023-08-08,98.3
2023-08-09,98.0
2023-08-10,98.0
2023-08-12,98.0
2023-08-13,98.0
2023-08-14,98.0
2023-08-21,97.0
2023-08-28,96.5
2023-09-07,96.0
2024-01-03,98.0
2024-01-04,97.0
2024-01-05,97.0
2024-01-06,97.0
2024-01-08,97.5
2024-01-10,97.0
2024-01-11,97.0
2024-01-12,97.0
2024-01-13,97.0
2024-01-15,96.0
2024-01-16,96.0
2024-01-22,96.0
2024-01-25,95.5
2024-01-27,95.5
2024-01-29,95.5
2024-02-20,94.0
2024-02-22,94.0
2024-02-23,92.5
2024-02-24,92.5
2024-02-26,93.0
2024-02-27,92.0
2024-02-29,92.0
2024-03-01,91.5
2024-03-03,91.0
2024-03-04,91.0
2024-03-08,90.0
2024-03-09,90.0
2024-03-10,90.5
2024-03-12,89.0
2024-03-13,90.5
2024-03-14,90.0
2024-03-16,90.0
2024-03-17,89.0
2024-03-18,89.0
2024-03-20,89.0
2024-03-23,89.5
2024-03-24,88.5
2024-03-25,88.0
